timestamp,tvlUSD,tvlETH,BTC,ETH,DAI,date
1535500800,179977135,608956.6401624089,14995.210928420001,547436.8207943313,173860.2329058278,2018-08-29
1535414400,174458547,605716.7800847164,14996.963777089999,546421.6308027402,178339.8553211123,2018-08-28
1535328000,165799021,604444.1159314618,98.16993399,543898.6060465589,177585.6366697506,2018-08-27
1535241600,167438517,603251.6104626027,96.21834237,543236.3730534991,197309.2220298572,2018-08-26
1535155200,168357612,598349.5468600063,94.21097659,543008.1585630644,199093.5947097033,2018-08-25
1535068800,162000470,587319.9796976399,93.04467081,538036.6160567091,200257.9146274202,2018-08-24
1534982400,157258194,581662.2059476253,91.59350143,533324.7349999306,199799.815108419,2018-08-23
1534896000,164107148,583741.1446661687,91.68814205,528309.0259592519,196181.3953248711,2018-08-22
1534809600,157624090,582154.2694637317,89.04068507,524375.0916814685,196009.3224373914,2018-08-21
1534723200,169444920,565532.7414725318,84.55305717,522233.9177466822,197946.0227174881,2018-08-20
1534636800,166901716,566056.3540783449,84.25824817,520827.3819504506,200190.8538410011,2018-08-19
1534550400,181852154,572636.439210253,84.80284528,519557.0017612539,195354.6887337691,2018-08-18
1534464000,162157007,565401.00069735,84.06149203,519430.71143941145,191176.5130499177,2018-08-17
1534377600,158364913,563095.2673872848,83.42261641,519205.60729011847,192963.5923837865,2018-08-16
1534291200,155522792,558811.3686177285,82.53607029,515576.68775861664,193463.4278194035,2018-08-15
1534204800,156896201,552393.060592191,82.45121799,510278.2403072612,191251.0685497765,2018-08-14
1534118400,166267346,522508.2366990352,81.21153609,481437.07219475514,189150.1847739575,2018-08-13
1534032000,164880229,518507.5914336929,82.20523425,476671.5077216487,192471.4027028354,2018-08-12
1533945600,163822820,494097.05633972737,82.02531048,452442.9399336295,187109.4796317339,2018-08-11
1533859200,175480266,482738.4831228852,81.5938844,444641.73435598443,195547.940225282,2018-08-10
1533772800,169052859,475441.8511122986,80.74212587,434718.92818626756,193718.5804159026,2018-08-09
1533686400,169799074,449275.212996772,80.36001463,400255.08816104045,199283.6717584702,2018-08-08
1533600000,182019699,449486.8477589826,80.38984653,400070.5770401191,188223.5373344455,2018-08-07
1533513600,184078439,450311.75448896724,79.21020156,398278.9989696507,186046.6909350365,2018-08-06
1533427200,182816751,449280.5558968813,77.37930656,397488.4856921953,184037.8930635077,2018-08-05
1533340800,186439572,446433.5328767779,91.34470143,396222.32299065875,186064.3382567682,2018-08-04
1533254400,183822817,447442.5358420758,91.33028588,393519.86603330594,196460.5025036212,2018-08-03
1533168000,187488159,446538.5928978017,91.59063114,392189.70168595784,195098.7216336704,2018-08-02
1533081600,192232034,445012.4638285066,93.0968705,390190.8211838537,203420.9964896504,2018-08-01
1532995200,196046601,429399.42395304015,94.04158932,387555.22998760565,213805.4566457223,2018-07-31
1532908800,206034861,441945.2187902188,93.79663738,385918.9500849686,208500.6183843208,2018-07-30
1532822400,206570838,440872.56002561096,94.14482046,386657.5996380056,217134.8049638497,2018-07-29
1532736000,206634790,439938.66167046345,94.37630547,386121.75361614,221834.9571506729,2018-07-28
1532649600,203415278,440264.22093803436,94.21895523,385347.4759845195,223994.0753859517,2018-07-27
1532563200,205908268,436866.4587444041,91.65518264,384794.0806517112,221649.3569859504,2018-07-26
1532476800,209302726,436647.736470981,92.37869879,384170.9256888323,224004.1774440173,2018-07-25
1532390400,198639099,441783.4641816605,93.43460687,384344.4459868915,223402.8927927634,2018-07-24
1532304000,200162073,437369.3280891512,92.16000741,384165.5039021594,225796.8647371355,2018-07-23
1532217600,201035235,436047.2735554398,83.67837173,383664.7988684135,230202.9606251737,2018-07-22
1532131200,195704666,436023.22876748955,75.92908716,383621.7757903962,236902.3406977553,2018-07-21
1532044800,202893479,432931.780646538,76.01132238,382097.82664189645,238377.8746586409,2018-07-20
1531958400,207517242,433203.0186000877,75.20305781,379719.73911766807,239027.7981877865,2018-07-19
1531872000,213345335,427494.35939566384,114.58497578,378086.5062554856,237304.2676667507,2018-07-18
1531785600,205774418,429762.15617886005,113.92443549,377225.44085287023,234727.153335879,2018-07-17
1531699200,191639918,426226.4089675726,111.77397618,376119.0906615973,239032.2097383184,2018-07-16
1531612800,184306210,424923.2489509845,106.15653417,375804.5884754365,238722.3766382642,2018-07-15
1531526400,180564600,417529.0200249735,101.43720362,374138.0691946092,231463.2199976952,2018-07-14
1531440000,178199538,413542.359193335,93.50882004,373148.63834124774,234471.2874455227,2018-07-13
1531353600,183518500,411855.06856078457,87.73911866,372266.8066623311,235385.4304224207,2018-07-12
1531267200,174692638,403736.24997111096,82.23884292,369482.78355277266,227936.6880401623,2018-07-11
1531180800,187821325,398365.4131670484,79.95928798,366788.116112245,234759.1538581414,2018-07-10
1531094400,207255771,426285.54885949934,77.39983012,365793.7116303979,231632.2490809352,2018-07-09
1531008000,206439565,424930.1490263884,73.588923,363117.28574234137,237902.2647647522,2018-07-08
1530921600,200200600,426022.17351520446,72.72029966,361589.7108761531,232632.3069655265,2018-07-07
1530835200,199678657,427074.4455138488,69.41144599,361649.97679707006,223274.9000871222,2018-07-06
1530748800,201148116,430548.84736402746,69.0805965,360593.75866096764,220215.3839998219,2018-07-05
1530662400,201199595,435695.00205721206,252768.4902573872,360334.1183106828,219311.7766990223,2018-07-04
1530576000,206330008,432938.87280204793,55.84343105,358938.27566773543,217666.6994650979,2018-07-03
1530489600,192261833,425395.683246305,54.67737853,356828.57553492323,220131.3322624486,2018-07-02
1530403200,189629827,418230.35883637326,45.8853136,350494.67557090777,220185.5448050541,2018-07-01
1530316800,181331022,416603.91949639295,38.19473078,349243.1405120269,220185.5448050541,2018-06-30
1530230400,151404933,359888.12217732356,32.96663965,312555.6000519543,222864.2648972543,2018-06-29
1530144000,152731150,345741.143180532,30.66148218,301982.1133566771,220695.1487835623,2018-06-28
1530057600,148676936,345848.7892251506,29.80355931,298945.9999493524,219498.8448931747,2018-06-27
1529971200,156738044,341618.6308057802,29.18977548,298101.7118859228,217996.6071111199,2018-06-26
1529884800,156839697,344513.3377265239,27.97943483,298227.8472228574,219530.4327198816,2018-06-25
1529798400,142552371,300629.2357332659,27.08908825,255658.0227553763,217899.3654408994,2018-06-24
1529712000,140079561,303097.5441405574,26.76096644,255432.2809700158,219288.8124677009,2018-06-23
1529625600,155782164,296310.27504089475,26.15496211,253912.53587048998,214794.2265084297,2018-06-22
1529539200,160513659,299376.41562220233,26.23187848,252948.7298135298,213621.0690690457,2018-06-21
1529452800,159855247,296880.3918655399,25.26692048,250978.0174590488,210255.6563756519,2018-06-20
1529366400,154271507,298034.3237447598,23.9297636,249997.8113920563,206609.3238384805,2018-06-19
1529280000,148708599,299308.82980436366,23.24988982,249744.8970031522,211254.0219011847,2018-06-18
1529193600,149123768,299915.0637544749,23.3442785,250004.0942762891,210459.6736981698,2018-06-17
1529107200,146701753,300920.5000923058,24.06679644,249762.36569647898,217445.7959457251,2018-06-16
1529020800,154973225,298122.8959467518,24.19246147,249115.5034043904,214984.3012730157,2018-06-15
1528934400,143859403,302035.27818601724,23.8416477,248489.2270987095,219590.3462506767,2018-06-14
1528848000,145404054,294024.7386407296,23.53785906,245083.6073018377,216493.4750406698,2018-06-13
1528761600,154199817,290313.1262355267,23.07165385,241483.9276906357,229441.7575202251,2018-06-12
1528675200,147222751,280568.5800316353,23.64428966,240448.9708996662,234852.3394513008,2018-06-11
1528588800,164785463,277720.50728912104,23.52816586,239906.0588038588,233501.0113773844,2018-06-10
1528502400,168541466,281113.2782920524,23.22108101,240045.3952083682,230865.5850219641,2018-06-09
1528416000,170572303,282198.8998080868,21.92932927,239775.4136724714,225292.712027939,2018-06-08
1528329600,170954358,281963.31519049976,21.22241066,239358.2870677329,226095.9186226623,2018-06-07
